,defteam,play_type,air_yards,yards_after_catch,interception,complete_pass,yards_allowed,passer_player_id,passer_player_name,receiver_player_id,receiver_player_name
65,BAL,pass,4,7,0,1,11,00-0033873,P.Mahomes,00-0039067,R.Rice
66,BAL,pass,,,0,0,0,00-0033873,P.Mahomes,,
67,BAL,pass,4,12,0,1,16,00-0033873,P.Mahomes,00-0039067,R.Rice
68,KC,pass,11,4,0,1,15,00-0034796,L.Jackson,00-0037838,I.Likely
69,KC,pass,3,0,0,1,3,00-0034796,L.Jackson,00-0039064,Z.Flowers
70,KC,pass,-1,2,0,1,1,00-0034796,L.Jackson,00-0034975,J.Hill
71,BAL,pass,-4,27,0,1,23,00-0033873,P.Mahomes,00-0037197,I.Pacheco
72,BAL,pass,3,16,0,1,19,00-0033873,P.Mahomes,00-0039067,R.Rice
73,BAL,pass,-3,4,0,1,1,00-0033873,P.Mahomes,00-0039067,R.Rice
74,BAL,pass,,,0,0,0,00-0033873,P.Mahomes,,
75,KC,pass,,,0,0,0,00-0034796,L.Jackson,,
76,BAL,pass,11,,0,0,0,00-0033873,P.Mahomes,00-0037197,I.Pacheco
77,BAL,pass,10,1,0,1,11,00-0033873,P.Mahomes,00-0036637,N.Gray
78,BAL,pass,13,,0,0,0,00-0033873,P.Mahomes,00-0033857,J.Smith-Schuster
79,KC,pass,-3,10,0,1,7,00-0034796,L.Jackson,00-0039064,Z.Flowers
80,KC,pass,-2,7,0,1,5,00-0034796,L.Jackson,00-0037838,I.Likely
81,KC,pass,-1,2,0,1,1,00-0034796,L.Jackson,00-0039064,Z.Flowers
82,BAL,pass,-1,2,0,1,1,00-0033873,P.Mahomes,00-0030506,T.Kelce
83,BAL,pass,20,3,0,1,23,00-0033873,P.Mahomes,00-0030506,T.Kelce
84,BAL,pass,3,9,0,1,12,00-0033873,P.Mahomes,00-0039894,X.Worthy
85,BAL,pass,3,,0,0,0,00-0033873,P.Mahomes,00-0030506,T.Kelce
86,BAL,pass,13,,0,0,0,00-0033873,P.Mahomes,00-0039894,X.Worthy
87,KC,pass,-2,11,0,1,9,00-0034796,L.Jackson,00-0039064,Z.Flowers
88,KC,pass,1,,0,0,0,00-0034796,L.Jackson,00-0036550,R.Bateman
89,BAL,pass,8,,1,0,0,00-0033873,P.Mahomes,00-0039067,R.Rice
90,KC,pass,-6,13,0,1,7,00-0034796,L.Jackson,00-0034975,J.Hill
91,KC,pass,3,6,0,1,9,00-0034796,L.Jackson,00-0037838,I.Likely
92,KC,pass,3,6,0,1,9,00-0034796,L.Jackson,00-0037838,I.Likely
93,KC,pass,4,,0,0,0,00-0034796,L.Jackson,00-0039064,Z.Flowers
94,KC,pass,-2,,0,0,0,00-0034796,L.Jackson,00-0034975,J.Hill
95,KC,pass,-3,,0,0,0,00-0034796,L.Jackson,00-0034975,J.Hill
96,BAL,pass,13,20,0,1,33,00-0033873,P.Mahomes,00-0039067,R.Rice
97,BAL,pass,15,10,0,1,25,00-0033873,P.Mahomes,00-0034386,Ju.Watson
98,BAL,pass,10,,0,0,0,00-0033873,P.Mahomes,00-0039067,R.Rice
99,BAL,pass,-2,15,0,1,13,00-0033873,P.Mahomes,00-0036637,N.Gray
100,KC,pass,-2,,0,0,0,00-0034796,L.Jackson,00-0039064,Z.Flowers
101,KC,pass,-6,4,0,1,-2,00-0034796,L.Jackson,00-0039064,Z.Flowers
102,KC,pass,3,14,0,1,17,00-0034796,L.Jackson,00-0034975,J.Hill
103,KC,pass,8,3,0,1,11,00-0034796,L.Jackson,00-0034753,M.Andrews
104,KC,pass,38,,0,0,0,00-0034796,L.Jackson,00-0037838,I.Likely
105,KC,pass,33,,0,0,0,00-0034796,L.Jackson,00-0039064,Z.Flowers
106,BAL,pass,5,5,0,1,10,00-0033873,P.Mahomes,00-0030506,T.Kelce
107,BAL,pass,4,11,0,1,15,00-0033873,P.Mahomes,00-0039067,R.Rice
