"","rusher_player_name","rusher_player_id","posteam","defteam","yards_gained_rush"
"895","T.Allgeier","00-0037263","ATL","PHI",2
"896","S.Barkley","00-0034844","PHI","ATL",9
"897","S.Barkley","00-0034844","PHI","ATL",5
"898","S.Barkley","00-0034844","PHI","ATL",4
"899","S.Barkley","00-0034844","PHI","ATL",4
"900","T.Allgeier","00-0037263","ATL","PHI",2
"901","J.Hurts","00-0036389","PHI","ATL",3
"902","J.Hurts","00-0036389","PHI","ATL",3
"903","S.Barkley","00-0034844","PHI","ATL",4
"904","J.Hurts","00-0036389","PHI","ATL",12
"905","S.Barkley","00-0034844","PHI","ATL",9
"906","J.Hurts","00-0036389","PHI","ATL",2
"907","S.Barkley","00-0034844","PHI","ATL",4
"908","J.Hurts","00-0036389","PHI","ATL",12
"909","S.Barkley","00-0034844","PHI","ATL",1
"910","J.Hurts","00-0036389","PHI","ATL",1
"911","S.Barkley","00-0034844","PHI","ATL",2
"912","B.Robinson","00-0038542","ATL","PHI",1
"913","B.Robinson","00-0038542","ATL","PHI",0
"914","S.Barkley","00-0034844","PHI","ATL",3
"915","S.Barkley","00-0034844","PHI","ATL",-1
"916","S.Barkley","00-0034844","PHI","ATL",0
"917","S.Barkley","00-0034844","PHI","ATL",9
"918","J.Hurts","00-0036389","PHI","ATL",1
"919","S.Barkley","00-0034844","PHI","ATL",4
"920","S.Barkley","00-0034844","PHI","ATL",3
"921","D.Achane","00-0039040","MIA","BUF",6
"922","A.Ingold","00-0035125","MIA","BUF",3
"923","D.Achane","00-0039040","MIA","BUF",-3
"924","J.Cook","00-0037248","BUF","MIA",4
"925","Ty.Johnson","00-0035537","BUF","MIA",-1
"926","J.Waddle","00-0036613","MIA","BUF",4
"927","D.Achane","00-0039040","MIA","BUF",14
"928","D.Achane","00-0039040","MIA","BUF",8
"929","D.Achane","00-0039040","MIA","BUF",0
"930","D.Achane","00-0039040","MIA","BUF",1
"931","J.Cook","00-0037248","BUF","MIA",3
"932","D.Achane","00-0039040","MIA","BUF",1
"933","T.Hill","00-0033040","MIA","BUF",12
"934","K.Shakir","00-0037261","BUF","MIA",2
"935","J.Allen","00-0034857","BUF","MIA",3
"936","J.Cook","00-0037248","BUF","MIA",3
"937","J.Wright","00-0039874","MIA","BUF",3
"938","R.Davis","00-0039875","BUF","MIA",8
"939","R.Davis","00-0039875","BUF","MIA",10
"940","R.Davis","00-0039875","BUF","MIA",-1
"941","J.Cook","00-0037248","BUF","MIA",1
"942","D.Achane","00-0039040","MIA","BUF",17
"943","D.Achane","00-0039040","MIA","BUF",5
"944","D.Achane","00-0039040","MIA","BUF",4
"945","A.Ingold","00-0035125","MIA","BUF",-1
"946","J.Cook","00-0037248","BUF","MIA",49
"947","D.Achane","00-0039040","MIA","BUF",13
"948","D.Achane","00-0039040","MIA","BUF",3
"949","D.Achane","00-0039040","MIA","BUF",5
"950","D.Achane","00-0039040","MIA","BUF",-5
"951","T.Tagovailoa","00-0036212","MIA","BUF",11
"952","J.Cook","00-0037248","BUF","MIA",5
"953","J.Cook","00-0037248","BUF","MIA",0
"954","D.Achane","00-0039040","MIA","BUF",2
"955","D.Achane","00-0039040","MIA","BUF",4
"956","D.Achane","00-0039040","MIA","BUF",1
"957","J.Wright","00-0039874","MIA","BUF",-2
"958","J.Wright","00-0039874","MIA","BUF",8
"959","D.Achane","00-0039040","MIA","BUF",16
"960","D.Achane","00-0039040","MIA","BUF",-1
"961","T.Tagovailoa","00-0036212","MIA","BUF",6
"962","D.Achane","00-0039040","MIA","BUF",0
"963","D.Achane","00-0039040","MIA","BUF",-1
"964","J.Cook","00-0037248","BUF","MIA",8
"965","J.Cook","00-0037248","BUF","MIA",4
"966","J.Cook","00-0037248","BUF","MIA",1
"967","J.Cook","00-0037248","BUF","MIA",0
"968","S.Thompson","00-0037327","MIA","BUF",4
"969","R.Davis","00-0039875","BUF","MIA",3
"970","R.Davis","00-0039875","BUF","MIA",0
"971","R.Davis","00-0039875","BUF","MIA",2
"972","R.Davis","00-0039875","BUF","MIA",-3
"973","J.Wright","00-0039874","MIA","BUF",-4
"974","D.Achane","00-0039040","MIA","BUF",6
"975","J.Wright","00-0039874","MIA","BUF",-1
"976","R.Davis","00-0039875","BUF","MIA",1
"977","R.Davis","00-0039875","BUF","MIA",9
"978","J.Mixon","00-0033897","HOU","CHI",16
"979","C.Akers","00-0036414","HOU","CHI",0
"980","D.Swift","00-0036275","CHI","HOU",-4
"981","D.Swift","00-0036275","CHI","HOU",0
"982","D.Swift","00-0036275","CHI","HOU",2
"983","D.Swift","00-0036275","CHI","HOU",-1
"984","J.Mixon","00-0033897","HOU","CHI",3
"985","T.Dell","00-0038977","HOU","CHI",18
"986","J.Mixon","00-0033897","HOU","CHI",1
"987","J.Mixon","00-0033897","HOU","CHI",0
"988","J.Mixon","00-0033897","HOU","CHI",1
"989","T.Dell","00-0038977","HOU","CHI",3
"990","D.Swift","00-0036275","CHI","HOU",7
"991","D.Swift","00-0036275","CHI","HOU",2
"992","C.Williams","00-0039918","CHI","HOU",0
"993","K.Herbert","00-0036906","CHI","HOU",1
"994","J.Mixon","00-0033897","HOU","CHI",-2
"995","D.Swift","00-0036275","CHI","HOU",0
"996","C.Williams","00-0039918","CHI","HOU",9
"997","K.Herbert","00-0036906","CHI","HOU",2
"998","D.Swift","00-0036275","CHI","HOU",4
"999","J.Mixon","00-0033897","HOU","CHI",1
"1000","D.Swift","00-0036275","CHI","HOU",-4
"1001","C.Williams","00-0039918","CHI","HOU",10
"1002","C.Akers","00-0036414","HOU","CHI",7
"1003","D.Swift","00-0036275","CHI","HOU",6
"1004","D.Swift","00-0036275","CHI","HOU",1
"1005","D.Swift","00-0036275","CHI","HOU",1
"1006","T.Dell","00-0038977","HOU","CHI",-5
"1007","J.Mixon","00-0033897","HOU","CHI",4
"1008","J.Mixon","00-0033897","HOU","CHI",1
"1009","D.Swift","00-0036275","CHI","HOU",3
"1010","C.Akers","00-0036414","HOU","CHI",7
"1011","C.Akers","00-0036414","HOU","CHI",13
"1012","C.Akers","00-0036414","HOU","CHI",1
"1013","C.Akers","00-0036414","HOU","CHI",4
"1014","C.Akers","00-0036414","HOU","CHI",0
"1015","D.Swift","00-0036275","CHI","HOU",1
"1016","C.Williams","00-0039918","CHI","HOU",24
"1017","T.Homer","00-0035594","CHI","HOU",6
"1018","D.Ogunbowale","00-0033854","HOU","CHI",0
"1019","D.Ogunbowale","00-0033854","HOU","CHI",3
"1020","C.Williams","00-0039918","CHI","HOU",1
"1021","Z.Moss","00-0036251","CIN","KC",1
