"","rusher_player_name","rusher_player_id","posteam","defteam","yards_gained_rush"
"292","S.Barkley","00-0034844","PHI","GB",3
"293","J.Jacobs","00-0035700","GB","PHI",5
"294","J.Jacobs","00-0035700","GB","PHI",1
"295","S.Barkley","00-0034844","PHI","GB",2
"296","S.Barkley","00-0034844","PHI","GB",8
"297","J.Hurts","00-0036389","PHI","GB",0
"298","J.Jacobs","00-0035700","GB","PHI",9
"299","S.Barkley","00-0034844","PHI","GB",5
"300","S.Barkley","00-0034844","PHI","GB",9
"301","S.Barkley","00-0034844","PHI","GB",2
"302","J.Jacobs","00-0035700","GB","PHI",3
"303","J.Jacobs","00-0035700","GB","PHI",22
"304","J.Jacobs","00-0035700","GB","PHI",0
"305","S.Barkley","00-0034844","PHI","GB",34
"306","J.Hurts","00-0036389","PHI","GB",-3
"307","J.Jacobs","00-0035700","GB","PHI",32
"308","J.Jacobs","00-0035700","GB","PHI",-1
"309","Em.Wilson","00-0038797","GB","PHI",9
"310","J.Jacobs","00-0035700","GB","PHI",5
"311","S.Barkley","00-0034844","PHI","GB",-2
"312","S.Barkley","00-0034844","PHI","GB",9
"313","S.Barkley","00-0034844","PHI","GB",2
"314","J.Hurts","00-0036389","PHI","GB",8
"315","J.Hurts","00-0036389","PHI","GB",6
"316","S.Barkley","00-0034844","PHI","GB",2
"317","J.Hurts","00-0036389","PHI","GB",8
"318","S.Barkley","00-0034844","PHI","GB",-3
"319","S.Barkley","00-0034844","PHI","GB",2
"320","S.Barkley","00-0034844","PHI","GB",2
"321","S.Barkley","00-0034844","PHI","GB",3
"322","J.Hurts","00-0036389","PHI","GB",0
"323","J.Jacobs","00-0035700","GB","PHI",4
"324","J.Taylor","00-0036223","IND","HOU",5
"325","J.Taylor","00-0036223","IND","HOU",-2
"326","J.Taylor","00-0036223","IND","HOU",5
"327","J.Mixon","00-0033897","HOU","IND",1
"328","C.Stroud","00-0039163","HOU","IND",13
"329","A.Richardson","00-0039164","IND","HOU",8
"330","J.Taylor","00-0036223","IND","HOU",5
"331","J.Mixon","00-0033897","HOU","IND",11
"332","J.Mixon","00-0033897","HOU","IND",3
"333","S.Diggs","00-0031588","HOU","IND",6
"334","J.Mixon","00-0033897","HOU","IND",3
"335","J.Mixon","00-0033897","HOU","IND",4
"336","D.Pierce","00-0037258","HOU","IND",4
"337","J.Mixon","00-0033897","HOU","IND",0
