"","kicker_player_name","kicker_player_id","yardline_100","result"
"271","C.Ryland","00-0038567",12,1
"272","J.Moody","00-0038562",2,1
"273","C.Ryland","00-0038567",27,0
"274","M.Wishnowsky","00-0034941",7,1
"275","C.Ryland","00-0038567",24,1
"276","C.Ryland","00-0038567",16,1
"277","J.Tucker","00-0029597",38,1
"278","E.McPherson","00-0036854",35,0
"279","J.Tucker","00-0029597",6,1
"280","T.Bass","00-0036162",20,1
"281","K.Fairbairn","00-0032726",32,1
"282","K.Fairbairn","00-0032726",29,1
"283","T.Bass","00-0036162",15,1
"284","K.Fairbairn","00-0032726",41,1
"285","E.Pineiro","00-0034173",27,0
"286","C.Santos","00-0031203",15,1
"287","E.Pineiro","00-0034173",9,1
"288","D.Hopkins","00-0030098",33,1
"289","A.Seibert","00-0035145",9,1
"290","D.Hopkins","00-0030098",13,1
"291","A.Seibert","00-0035145",12,1
"292","B.Aubrey","00-0037692",36,1
"293","C.Boswell","00-0031136",23,1
"294","B.Aubrey","00-0037692",15,1
"295","B.Aubrey","00-0037692",20,0
"296","B.Narveson","00-0039649",28,1
"297","C.Little","00-0039409",5,1
"298","M.Gay","00-0035269",12,1
"299","C.Little","00-0039409",12,1
"300","M.Gay","00-0035269",19,1
"301","C.Little","00-0039409",31,1
"302","D.Carlson","00-0034161",22,1
"303","W.Lutz","00-0032569",33,1
"304","W.Lutz","00-0032569",26,1
"305","J.Sanders","00-0034794",36,1
"306","J.Sanders","00-0034794",23,0
"307","J.Slye","00-0035192",15,0
"308","J.Slye","00-0035192",20,1
"309","J.Sanders","00-0034794",14,1
"310","J.Sanders","00-0034794",29,1
"311","H.Butker","00-0033303",8,1
"312","H.Butker","00-0033303",16,1
"313","H.Butker","00-0033303",9,1
"314","H.Butker","00-0033303",33,0
"315","H.Butker","00-0033303",20,1
"316","G.Joseph","00-0034450",20,1
"317","J.Myers","00-0031492",25,1
"318","J.Myers","00-0031492",29,1
"319","G.Joseph","00-0034450",13,1
"320","G.Joseph","00-0034450",6,1
"321","J.Myers","00-0031492",28,0
"322","W.Reichard","00-0039404",36,1
"323","G.Zuerlein","00-0029621",14,1
"324","W.Reichard","00-0039404",35,1
"325","W.Reichard","00-0039404",23,1
"326","Y.Koo","00-0033702",23,0
"327","C.McLaughlin","00-0035358",35,1
"328","Y.Koo","00-0033702",36,1
"329","Y.Koo","00-0033702",30,1
"330","C.McLaughlin","00-0035358",14,1
"331","C.McLaughlin","00-0035358",35,1
"332","Y.Koo","00-0033702",36,0
"333","Y.Koo","00-0033702",34,1
"334","B.Narveson","00-0039649",18,1
"335","C.Ryland","00-0038567",20,1
"336","C.Ryland","00-0038567",21,1
"337","B.Narveson","00-0039649",26,0
"338","B.Narveson","00-0039649",22,1
"339","E.Pineiro","00-0034173",5,1
"340","Y.Koo","00-0033702",3,1
"341","E.Pineiro","00-0034173",22,1
"342","Y.Koo","00-0033702",13,1
"343","Y.Koo","00-0033702",17,1
"344","G.Zuerlein","00-0029621",16,1
"345","T.Bass","00-0036162",29,0
"346","G.Zuerlein","00-0029621",3,1
"347","G.Zuerlein","00-0029621",14,0
"348","G.Zuerlein","00-0029621",25,0
"349","T.Bass","00-0036162",3,1
"350","E.McPherson","00-0036854",19,1
"351","G.Joseph","00-0034450",28,0
"352","G.Joseph","00-0034450",27,0
"353","J.Elliott","00-0033787",31,1
"354","D.Hopkins","00-0030098",25,1
"355","J.Elliott","00-0033787",39,0
"356","D.Hopkins","00-0030098",34,0
"357","J.Elliott","00-0033787",26,1
"358","D.Hopkins","00-0030098",31,1
"359","D.Hopkins","00-0030098",13,1
"360","B.Aubrey","00-0037692",16,1
"361","J.Bates","00-0039172",22,1
"362","J.Bates","00-0039172",30,1
"363","B.Aubrey","00-0037692",29,1
"364","B.Aubrey","00-0037692",32,1
"365","J.Bates","00-0039172",15,1
"366","J.Bates","00-0039172",15,1
"367","K.Fairbairn","00-0032726",22,0
"368","K.Fairbairn","00-0032726",21,1
"369","K.Fairbairn","00-0032726",28,1
"370","N.Folk","00-0025565",26,1
"371","M.Gay","00-0035269",8,1
"372","M.Gay","00-0035269",4,1
"373","C.Little","00-0039409",12,1
"374","C.Santos","00-0031203",25,0
"375","C.Dicker","00-0037224",2,1
"376","C.Dicker","00-0037224",15,1
"377","C.Dicker","00-0037224",28,1
"378","W.Lutz","00-0032569",22,1
"379","C.Boswell","00-0031136",34,1
"380","C.Boswell","00-0031136",31,1
"381","C.Boswell","00-0031136",19,1
