"","receiver_player_name","receiver_player_id","passer_player_name","passer_player_id","complete_pass","air_yards","yards_after_catch","yards_gained_pass","defteam","interception"
"31","R.Davis","00-0039875","J.Allen","00-0034857",1,2,12,14,"ARI",0
"32","D.Kincaid","00-0038933","J.Allen","00-0034857",0,-4,NA,0,"ARI",0
"33","M.Hollins","00-0033555","J.Allen","00-0034857",1,11,0,11,"ARI",0
"34",NA,NA,"K.Murray","00-0035228",0,NA,NA,-8,"BUF",0
"35","J.Cook","00-0037248","J.Allen","00-0034857",1,-6,9,3,"ARI",0
"36","M.Valdes-Scantling","00-0034272","J.Allen","00-0034857",0,41,NA,0,"ARI",0
"37","G.Dortch","00-0035500","K.Murray","00-0035228",1,0,3,3,"BUF",0
"38",NA,NA,"K.Murray","00-0035228",0,NA,NA,-3,"BUF",0
"39","K.Coleman","00-0039901","J.Allen","00-0034857",1,7,0,7,"ARI",0
"40","K.Shakir","00-0037261","J.Allen","00-0034857",1,-2,13,11,"ARI",0
"41","T.McBride","00-0037744","K.Murray","00-0035228",0,21,NA,0,"BUF",0
"42","M.Valdes-Scantling","00-0034272","J.Allen","00-0034857",1,14,5,19,"ARI",0
"43","D.Knox","00-0035689","J.Allen","00-0034857",0,13,NA,0,"ARI",0
"44","K.Shakir","00-0037261","J.Allen","00-0034857",1,6,6,12,"ARI",0
"45","K.Coleman","00-0039901","J.Allen","00-0034857",1,28,0,28,"ARI",0
"46","K.Coleman","00-0039901","J.Allen","00-0034857",0,6,NA,0,"ARI",0
"47","D.Kincaid","00-0038933","J.Allen","00-0034857",1,5,6,11,"ARI",0
"48","C.Samuel","00-0033282","J.Allen","00-0034857",1,-2,9,7,"ARI",0
"49","Ty.Johnson","00-0035537","J.Allen","00-0034857",0,3,NA,0,"ARI",0
"50","T.McBride","00-0037744","K.Murray","00-0035228",0,-3,NA,0,"BUF",0
"51","J.Conner","00-0033553","K.Murray","00-0035228",0,-6,NA,0,"BUF",0
"52",NA,NA,"K.Murray","00-0035228",0,NA,NA,-5,"BUF",0
"53","Mi.Wilson","00-0038559","K.Murray","00-0035228",0,19,NA,0,"BUF",0
"54","T.McBride","00-0037744","K.Murray","00-0035228",1,5,0,5,"BUF",0
"55","G.Dortch","00-0035500","K.Murray","00-0035228",1,4,8,12,"BUF",0
"56","T.McBride","00-0037744","K.Murray","00-0035228",1,4,0,4,"BUF",0
"57","G.Dortch","00-0035500","K.Murray","00-0035228",1,7,0,7,"BUF",0
"58","T.McBride","00-0037744","K.Murray","00-0035228",0,3,NA,0,"BUF",0
"59","G.Dortch","00-0035500","K.Murray","00-0035228",0,15,NA,0,"BUF",0
"60","G.Dortch","00-0035500","K.Murray","00-0035228",0,27,NA,0,"BUF",0
"61","J.Hill","00-0034975","L.Jackson","00-0034796",1,-4,6,2,"KC",0
"62","J.Hill","00-0034975","L.Jackson","00-0034796",1,1,17,18,"KC",0
"63","D.Henry","00-0032764","L.Jackson","00-0034796",0,-6,NA,0,"KC",0
"64","Z.Flowers","00-0039064","L.Jackson","00-0034796",1,18,1,19,"KC",0
"65","R.Rice","00-0039067","P.Mahomes","00-0033873",1,4,7,11,"BAL",0
"66",NA,NA,"P.Mahomes","00-0033873",0,NA,NA,0,"BAL",0
"67","R.Rice","00-0039067","P.Mahomes","00-0033873",1,4,12,16,"BAL",0
"68","I.Likely","00-0037838","L.Jackson","00-0034796",1,11,4,15,"KC",0
"69","Z.Flowers","00-0039064","L.Jackson","00-0034796",1,3,0,3,"KC",0
"70","J.Hill","00-0034975","L.Jackson","00-0034796",1,-1,2,1,"KC",0
"71","I.Pacheco","00-0037197","P.Mahomes","00-0033873",1,-4,27,23,"BAL",0
"72","R.Rice","00-0039067","P.Mahomes","00-0033873",1,3,16,19,"BAL",0
"73","R.Rice","00-0039067","P.Mahomes","00-0033873",1,-3,4,1,"BAL",0
"74",NA,NA,"P.Mahomes","00-0033873",0,NA,NA,-10,"BAL",0
"75",NA,NA,"L.Jackson","00-0034796",0,NA,NA,-6,"KC",0
"76","I.Pacheco","00-0037197","P.Mahomes","00-0033873",0,11,NA,0,"BAL",0
"77","N.Gray","00-0036637","P.Mahomes","00-0033873",1,10,1,11,"BAL",0
"78","J.Smith-Schuster","00-0033857","P.Mahomes","00-0033873",0,13,NA,0,"BAL",0
"79","Z.Flowers","00-0039064","L.Jackson","00-0034796",1,-3,10,7,"KC",0
"80","I.Likely","00-0037838","L.Jackson","00-0034796",1,-2,7,5,"KC",0
"81","Z.Flowers","00-0039064","L.Jackson","00-0034796",1,-1,2,1,"KC",0
"82","T.Kelce","00-0030506","P.Mahomes","00-0033873",1,-1,2,1,"BAL",0
"83","T.Kelce","00-0030506","P.Mahomes","00-0033873",1,20,3,23,"BAL",0
"84","X.Worthy","00-0039894","P.Mahomes","00-0033873",1,3,9,12,"BAL",0
