"","rusher_player_name","pos_team","yards_gained"
"12311","T.Allgeier","ATL",4
"12312","B.Robinson","ATL",1
"12313","B.Robinson","ATL",11
"12314","B.Robinson","ATL",8
"12315","B.Robinson","ATL",1
"12316","B.Robinson","ATL",6
"12317","T.Allgeier","ATL",2
"12318","D.Lock","NYG",1
"12319","T.Allgeier","ATL",-3
"12320","T.Allgeier","ATL",-1
"12321","B.Robinson","WAS",0
"12322","S.Barkley","PHI",19
"12323","K.Gainwell","PHI",1
"12324","J.Hurts","PHI",6
"12325","S.Barkley","PHI",13
"12326","S.Barkley","PHI",3
"12327","S.Barkley","PHI",2
