"","rusher_player_name","pos_team","yards_gained"
"11667","C.Patterson","PIT",5
"11668","C.Patterson","PIT",4
"11669","S.Barkley","PHI",5
"11670","S.Barkley","PHI",4
"11671","S.Barkley","PHI",7
"11672","S.Barkley","PHI",-4
"11673","S.Barkley","PHI",-3
"11674","J.Hurts","PHI",2
"11675","S.Barkley","PHI",0
"11676","J.Hurts","PHI",1
"11677","K.Gainwell","PHI",1
"11678","K.Gainwell","PHI",7
"11679","K.Gainwell","PHI",2
"11680","R.White","TB",2
"11681","R.White","TB",5
"11682","G.Edwards","LAC",8
"11683","G.Edwards","LAC",4
"11684","G.Edwards","LAC",0
"11685","B.Irving","TB",2
"11686","B.Irving","TB",6
"11687","B.Irving","TB",2
"11688","B.Irving","TB",5
"11689","R.White","TB",0
"11690","B.Mayfield","TB",4
"11691","K.Vidal","LAC",2
"11692","K.Vidal","LAC",7
"11693","G.Edwards","LAC",7
"11694","R.White","TB",5
"11695","R.White","TB",1
"11696","G.Edwards","LAC",0
"11697","B.Irving","TB",4
"11698","B.Mayfield","TB",21
"11699","R.White","TB",11
"11700","G.Edwards","LAC",3
"11701","B.Irving","TB",6
"11702","B.Irving","TB",5
"11703","B.Irving","TB",18
"11704","K.Vidal","LAC",0
"11705","B.Irving","TB",54
"11706","B.Irving","TB",0
"11707","R.White","TB",1
"11708","G.Edwards","LAC",0
"11709","B.Irving","TB",4
"11710","B.Irving","TB",5
"11711","B.Irving","TB",3
"11712","G.Edwards","LAC",1
"11713","R.White","TB",5
"11714","R.White","TB",2
"11715","R.White","TB",4
"11716","B.Irving","TB",3
"11717","R.White","TB",5
"11718","B.Irving","TB",0
"11719","R.White","TB",9
"11720","R.White","TB",8
"11721","R.White","TB",7
"11722","R.White","TB",-1
"11723","S.Tucker","TB",4
"11724","S.Tucker","TB",0
"11725","S.Tucker","TB",2
"11726","S.Tucker","TB",2
"11727","S.Tucker","TB",2
"11728","S.Tucker","TB",3
"11729","S.Tucker","TB",4
"11730","A.Kamara","NO",3
"11731","M.Valdes-Scantling","NO",4
"11732","J.Daniels","WAS",1
"11733","B.Robinson","WAS",1
"11734","B.Robinson","WAS",9
"11735","B.Robinson","WAS",5
"11736","J.Daniels","WAS",1
"11737","J.Daniels","WAS",9
"11738","B.Robinson","WAS",1
"11739","J.Daniels","WAS",5
"11740","K.Miller","NO",-1
"11741","A.Kamara","NO",-3
"11742","J.Haener","NO",7
"11743","B.Robinson","WAS",2
"11744","A.Kamara","NO",6
"11745","J.McNichols","WAS",-1
"11746","J.Daniels","WAS",2
"11747","B.Robinson","WAS",7
"11748","A.Kamara","NO",2
"11749","B.Robinson","WAS",1
"11750","J.Daniels","WAS",2
"11751","J.McNichols","WAS",5
"11752","B.Robinson","WAS",3
"11753","J.Daniels","WAS",6
"11754","J.Daniels","WAS",5
"11755","B.Robinson","WAS",20
"11756","B.Robinson","WAS",1
"11757","J.Daniels","WAS",10
"11758","B.Robinson","WAS",4
"11759","B.Robinson","WAS",4
"11760","A.Kamara","NO",4
"11761","B.Robinson","WAS",-1
"11762","B.Robinson","WAS",0
"11763","B.Robinson","WAS",-4
"11764","J.Daniels","WAS",24
"11765","B.Robinson","WAS",1
"11766","K.Miller","NO",0
"11767","K.Miller","NO",8
"11768","K.Miller","NO",17
"11769","K.Miller","NO",-6
"11770","B.Robinson","WAS",2
"11771","C.Rodriguez","WAS",2
"11772","J.Daniels","WAS",1
"11773","B.Robinson","WAS",7
"11774","B.Robinson","WAS",-2
"11775","B.Robinson","WAS",-3
"11776","B.Robinson","WAS",7
"11777","K.Miller","NO",12
"11778","K.Miller","NO",6
"11779","K.Miller","NO",12
"11780","K.Miller","NO",-2
"11781","J.Conner","ARI",0
"11782","C.Hubbard","CAR",6
"11783","B.Young","CAR",5
"11784","C.Hubbard","CAR",9
"11785","C.Hubbard","CAR",0
"11786","C.Hubbard","CAR",7
"11787","D.Thompkins","CAR",9
"11788","C.Hubbard","CAR",0
"11789","D.Moore","CAR",0
"11790","C.Hubbard","CAR",1
"11791","C.Hubbard","CAR",1
"11792","C.Hubbard","CAR",4
"11793","J.Conner","ARI",5
"11794","K.Murray","ARI",14
