coach,down,red_zone,distance,pass_prob,run_prob,fg_prob,punt_prob
Shane Steichen,2,TRUE,Mid,0.233333333,0.766666667,0,0
Shane Steichen,2,TRUE,Long,0.653846154,0.346153846,0,0
Shane Steichen,2,FALSE,Short,0.31884058,0.68115942,0,0
Shane Steichen,2,FALSE,Mid,0.396551724,0.603448276,0,0
Shane Steichen,2,FALSE,Long,0.754475703,0.242966752,0.002557545,0
Shane Steichen,3,TRUE,Short,0.268292683,0.731707317,0,0
Shane Steichen,3,TRUE,Mid,0.8,0.2,0,0
Shane Steichen,3,TRUE,Long,0.888888889,0.111111111,0,0
Shane Steichen,3,FALSE,Short,0.395833333,0.604166667,0,0
Shane Steichen,3,FALSE,Mid,0.755813953,0.244186047,0,0
Shane Steichen,3,FALSE,Long,0.82122905,0.17877095,0,0
Shane Steichen,4,TRUE,Short,0.5,0.15,0.35,0
Shane Steichen,4,TRUE,Mid,0.166666667,0.055555556,0.777777778,0
Shane Steichen,4,TRUE,Long,0,0.05,0.95,0
Shane Steichen,4,FALSE,Short,0.214285714,0.232142857,0.107142857,0.446428571
Shane Steichen,4,FALSE,Mid,0.163265306,0,0.244897959,0.591836735
Shane Steichen,4,FALSE,Long,0.083333333,0,0.148148148,0.768518519
Liam Coen,1,TRUE,All,0.380406213,0.616487455,0.003106332,0
Liam Coen,1,FALSE,All,0.499012042,0.499496701,0.001491258,0
Liam Coen,2,TRUE,Short,0.335436893,0.662621359,0.001941748,0
Liam Coen,2,TRUE,Mid,0.512845371,0.483276781,0.003877848,0
Liam Coen,2,TRUE,Long,0.651206518,0.337511752,0.01128173,0
Liam Coen,2,FALSE,Short,0.365905849,0.632489301,0.00160485,0
Liam Coen,2,FALSE,Mid,0.506609385,0.492068738,0.001321877,0
Liam Coen,2,FALSE,Long,0.687166839,0.310446336,0.002386825,0
Liam Coen,3,TRUE,Short,0.469904963,0.52217529,0.007919747,0
Liam Coen,3,TRUE,Mid,0.834293948,0.153458213,0.012247839,0
Liam Coen,3,TRUE,Long,0.852428394,0.132004981,0.015566625,0
Liam Coen,3,FALSE,Short,0.492876629,0.504698393,0.002424977,0
Liam Coen,3,FALSE,Mid,0.856947296,0.141170431,0.001882272,0
Liam Coen,3,FALSE,Long,0.866811861,0.128245937,0.004942201,0
Liam Coen,4,TRUE,Short,0.283962264,0.299056604,0.416981132,0
Liam Coen,4,TRUE,Mid,0.130378096,0.011734029,0.857887875,0
Liam Coen,4,TRUE,Long,0.067201605,0.002006018,0.930792377,0
Liam Coen,4,FALSE,Short,0.198028674,0.241636798,0.098267622,0.462066906
Liam Coen,4,FALSE,Mid,0.129493892,0.017801047,0.182897033,0.669808028
Liam Coen,4,FALSE,Long,0.069789939,0.006909895,0.16514649,0.758153676
Mike Vrabel,1,TRUE,All,0.36997319,0.627345845,0.002680965,0
Mike Vrabel,1,FALSE,All,0.40116764,0.597581318,0.001251043,0
Mike Vrabel,2,TRUE,Short,0.363636364,0.636363636,0,0
Mike Vrabel,2,TRUE,Mid,0.423076923,0.551282051,0.025641026,0
Mike Vrabel,2,TRUE,Long,0.661157025,0.338842975,0,0
Mike Vrabel,2,FALSE,Short,0.312217195,0.678733032,0.009049774,0
Mike Vrabel,2,FALSE,Mid,0.457711443,0.539800995,0.002487562,0
Mike Vrabel,2,FALSE,Long,0.601211073,0.397923875,0.000865052,0
Mike Vrabel,3,TRUE,Short,0.394366197,0.605633803,0,0
Mike Vrabel,3,TRUE,Mid,0.903846154,0.096153846,0,0
Mike Vrabel,3,TRUE,Long,0.907692308,0.046153846,0.046153846,0
Mike Vrabel,3,FALSE,Short,0.525,0.475,0,0
Mike Vrabel,3,FALSE,Mid,0.864468864,0.135531136,0,0
Mike Vrabel,3,FALSE,Long,0.875457875,0.119047619,0.005494505,0
Mike Vrabel,4,TRUE,Short,0.179487179,0.358974359,0.461538462,0
Mike Vrabel,4,TRUE,Mid,0.192307692,0,0.807692308,0
Mike Vrabel,4,TRUE,Long,0.076923077,0,0.923076923,0
Mike Vrabel,4,FALSE,Short,0.140495868,0.223140496,0.090909091,0.545454545
Mike Vrabel,4,FALSE,Mid,0.085106383,0,0.127659574,0.787234043
Mike Vrabel,4,FALSE,Long,0.057636888,0.008645533,0.132564841,0.801152738
Kellen Moore,1,TRUE,All,0.380406213,0.616487455,0.003106332,0
Kellen Moore,1,FALSE,All,0.499012042,0.499496701,0.001491258,0
Kellen Moore,2,TRUE,Short,0.335436893,0.662621359,0.001941748,0
Kellen Moore,2,TRUE,Mid,0.512845371,0.483276781,0.003877848,0
Kellen Moore,2,TRUE,Long,0.651206518,0.337511752,0.01128173,0
Kellen Moore,2,FALSE,Short,0.365905849,0.632489301,0.00160485,0
Kellen Moore,2,FALSE,Mid,0.506609385,0.492068738,0.001321877,0
Kellen Moore,2,FALSE,Long,0.687166839,0.310446336,0.002386825,0
Kellen Moore,3,TRUE,Short,0.469904963,0.52217529,0.007919747,0
Kellen Moore,3,TRUE,Mid,0.834293948,0.153458213,0.012247839,0
Kellen Moore,3,TRUE,Long,0.852428394,0.132004981,0.015566625,0
Kellen Moore,3,FALSE,Short,0.492876629,0.504698393,0.002424977,0
Kellen Moore,3,FALSE,Mid,0.856947296,0.141170431,0.001882272,0
Kellen Moore,3,FALSE,Long,0.866811861,0.128245937,0.004942201,0
Kellen Moore,4,TRUE,Short,0.283962264,0.299056604,0.416981132,0
Kellen Moore,4,TRUE,Mid,0.130378096,0.011734029,0.857887875,0
Kellen Moore,4,TRUE,Long,0.067201605,0.002006018,0.930792377,0
Kellen Moore,4,FALSE,Short,0.198028674,0.241636798,0.098267622,0.462066906
Kellen Moore,4,FALSE,Mid,0.129493892,0.017801047,0.182897033,0.669808028
Kellen Moore,4,FALSE,Long,0.069789939,0.006909895,0.16514649,0.758153676
Aaron Glenn,1,TRUE,All,0.380406213,0.616487455,0.003106332,0
Aaron Glenn,1,FALSE,All,0.499012042,0.499496701,0.001491258,0
Aaron Glenn,2,TRUE,Short,0.335436893,0.662621359,0.001941748,0
Aaron Glenn,2,TRUE,Mid,0.512845371,0.483276781,0.003877848,0
