"","receiver_player_name","receiver_player_id","passer_player_name","passer_player_id","complete_pass","air_yards","yards_after_catch"
"97","Ju.Watson","00-0034386","P.Mahomes","00-0033873",1,15,10
"98","R.Rice","00-0039067","P.Mahomes","00-0033873",0,10,NA
"99","N.Gray","00-0036637","P.Mahomes","00-0033873",1,-2,15
"100","Z.Flowers","00-0039064","L.Jackson","00-0034796",0,-2,NA
"101","Z.Flowers","00-0039064","L.Jackson","00-0034796",1,-6,4
"102","J.Hill","00-0034975","L.Jackson","00-0034796",1,3,14
"103","M.Andrews","00-0034753","L.Jackson","00-0034796",1,8,3
"104","I.Likely","00-0037838","L.Jackson","00-0034796",0,38,NA
"105","Z.Flowers","00-0039064","L.Jackson","00-0034796",0,33,NA
"106","T.Kelce","00-0030506","P.Mahomes","00-0033873",1,5,5
"107","R.Rice","00-0039067","P.Mahomes","00-0033873",1,4,11
"108","S.Perine","00-0033526","P.Mahomes","00-0033873",1,-3,13
"109",NA,NA,"P.Mahomes","00-0033873",0,5,NA
"110","S.Perine","00-0033526","P.Mahomes","00-0033873",0,-1,NA
"111","D.Henry","00-0032764","L.Jackson","00-0034796",0,-4,NA
"112","R.Bateman","00-0036550","L.Jackson","00-0034796",1,12,3
"113","I.Likely","00-0037838","L.Jackson","00-0034796",1,19,30
"114","R.Rice","00-0039067","P.Mahomes","00-0033873",1,5,3
"115","N.Gray","00-0036637","P.Mahomes","00-0033873",1,13,0
"116","X.Worthy","00-0039894","P.Mahomes","00-0033873",1,21,14
"117","I.Likely","00-0037838","L.Jackson","00-0034796",1,-3,7
"118","R.Bateman","00-0036550","L.Jackson","00-0034796",0,31,NA
"119","N.Agholor","00-0031549","L.Jackson","00-0034796",1,6,0
"120","M.Andrews","00-0034753","L.Jackson","00-0034796",1,3,0
"121",NA,NA,"L.Jackson","00-0034796",0,0,NA
"122","I.Pacheco","00-0037197","P.Mahomes","00-0033873",1,-3,13
"123","P.Mahomes","00-0033873","P.Mahomes","00-0033873",1,-1,3
"124","I.Likely","00-0037838","L.Jackson","00-0034796",1,5,3
"125","R.Bateman","00-0036550","L.Jackson","00-0034796",0,40,NA
"126","I.Likely","00-0037838","L.Jackson","00-0034796",1,3,5
"127","J.Hill","00-0034975","L.Jackson","00-0034796",1,0,7
"128","I.Likely","00-0037838","L.Jackson","00-0034796",1,1,3
"129","R.Bateman","00-0036550","L.Jackson","00-0034796",1,36,2
"130","I.Likely","00-0037838","L.Jackson","00-0034796",0,10,NA
"131","Z.Flowers","00-0039064","L.Jackson","00-0034796",0,10,NA
"132","I.Likely","00-0037838","L.Jackson","00-0034796",0,10,NA
"133","F.Moreau","00-0034981","D.Carr","00-0031280",1,0,1
"134","A.Kamara","00-0033906","D.Carr","00-0031280",1,-4,9
