"","punter_player_name","punter_player_id","kick_distance"
"676","M.Wishnowsky","00-0034941",49
"677","M.Dickson","00-0034160",58
"678","M.Wishnowsky","00-0034941",37
"679","M.Hayball","00-0039611",42
"680","J.Camarda","00-0038042",47
"681","M.Hayball","00-0039611",35
"682","M.Hayball","00-0039611",42
"683","J.Camarda","00-0038042",41
"684","M.Hayball","00-0039611",48
"685","M.Hayball","00-0039611",41
"686","J.Camarda","00-0038042",44
"687","M.Hayball","00-0039611",58
"688","T.Way","00-0030140",54
"689","J.Stout","00-0038094",50
"690","T.Way","00-0030140",35
"691","T.Way","00-0030140",38
"692","J.Stout","00-0038094",57
"693","T.Gill","00-0037097",41
"694","T.Gill","00-0037097",52
"695","J.Stout","00-0038094",30
"696","J.Hekker","00-0028872",49
"697","T.Way","00-0030140",40
"698","J.Hekker","00-0028872",62
"699","J.Hekker","00-0028872",51
"700","J.Hekker","00-0028872",43
"701","J.Hekker","00-0028872",47
"702","C.Bojorquez","00-0034721",47
"703","R.Rehkow","00-0039323",47
"704","C.Bojorquez","00-0034721",48
"705","R.Rehkow","00-0039323",46
"706","C.Bojorquez","00-0034721",58
"707","R.Rehkow","00-0039323",45
"708","C.Bojorquez","00-0034721",47
"709","R.Rehkow","00-0039323",48
"710","R.Rehkow","00-0039323",38
"711","R.Rehkow","00-0039323",29
"712","C.Bojorquez","00-0034721",49
"713","C.Bojorquez","00-0034721",55
"714","R.Rehkow","00-0039323",58
"715","C.Bojorquez","00-0034721",51
"716","R.Rehkow","00-0039323",43
"717","R.Dixon","00-0032943",33
"718","M.Hayball","00-0039611",52
"719","M.Hayball","00-0039611",42
"720","M.Hayball","00-0039611",45
"721","M.Hayball","00-0039611",40
"722","M.Hayball","00-0039611",43
"723","R.Dixon","00-0032943",50
"724","M.Hayball","00-0039611",45
"725","R.Dixon","00-0032943",46
"726","J.Fox","00-0035156",63
"727","J.Fox","00-0035156",55
"728","R.Wright","00-0037500",60
"729","R.Wright","00-0037500",34
"730","J.Fox","00-0035156",38
"731","J.Fox","00-0035156",63
"732","R.Wright","00-0037500",51
"733","D.Whelan","00-0037547",47
"734","T.Townsend","00-0035889",36
"735","T.Townsend","00-0035889",58
"736","D.Whelan","00-0037547",51
"737","T.Townsend","00-0035889",52
"738","T.Townsend","00-0035889",66
"739","D.Whelan","00-0037547",59
"740","T.Townsend","00-0035889",38
"741","D.Whelan","00-0037547",66
"742","T.Townsend","00-0035889",57
"743","D.Whelan","00-0037547",61
"744","M.Wishnowsky","00-0034941",50
"745","M.Wishnowsky","00-0034941",51
"746","M.Araiza","00-0037284",48
"747","M.Wishnowsky","00-0034941",47
"748","M.Wishnowsky","00-0034941",45
"749","M.Araiza","00-0037284",64
"750","M.Araiza","00-0037284",67
"751","B.Gillikin","00-0035859",54
"752","B.Gillikin","00-0035859",36
"753","J.Scott","00-0034162",36
"754","B.Gillikin","00-0035859",44
"755","J.Scott","00-0034162",39
"756","B.Gillikin","00-0035859",44
"757","A.Cole","00-0035190",40
"758","E.Evans","00-0039059",45
"759","A.Cole","00-0035190",46
"760","E.Evans","00-0039059",41
"761","A.Cole","00-0035190",48
"762","E.Evans","00-0039059",43
"763","E.Evans","00-0039059",52
"764","A.Cole","00-0035190",56
"765","E.Evans","00-0039059",44
"766","E.Evans","00-0039059",36
"767","R.Sanchez","00-0033269",48
"768","J.Bailey","00-0035280",59
"769","R.Sanchez","00-0033269",48
"770","J.Bailey","00-0035280",33
"771","R.Sanchez","00-0033269",45
"772","J.Bailey","00-0035280",39
"773","R.Sanchez","00-0033269",55
"774","J.Bailey","00-0035280",40
"775","R.Sanchez","00-0033269",42
"776","J.Bailey","00-0035280",56
"777","R.Sanchez","00-0033269",48
"778","R.Sanchez","00-0033269",51
"779","J.Bailey","00-0035280",59
"780","L.Cooke","00-0034437",38
"781","B.Baringer","00-0038610",40
"782","B.Baringer","00-0038610",66
"783","B.Baringer","00-0038610",57
"784","B.Baringer","00-0038610",46
"785","L.Cooke","00-0034437",32
"786","T.Morstead","00-0027114",47
"787","C.Waitman","00-0035821",43
"788","C.Waitman","00-0035821",55
"789","T.Morstead","00-0027114",46
"790","C.Waitman","00-0035821",51
"791","T.Morstead","00-0027114",47
"792","C.Waitman","00-0035821",35
"793","T.Morstead","00-0027114",37
"794","M.Haack","00-0033400",29
"795","B.Mann","00-0036313",67
"796","M.Haack","00-0033400",47
"797","B.Mann","00-0036313",45
"798","M.Haack","00-0033400",58
"799","B.Mann","00-0036313",46
"800","M.Haack","00-0033400",34
"801","M.Haack","00-0033400",64
"802","M.Haack","00-0033400",46
"803","B.Mann","00-0036313",58
"804","B.Mann","00-0036313",55
"805","M.Haack","00-0033400",50
"806","M.Haack","00-0033400",41
"807","M.Haack","00-0033400",37
"808","B.Mann","00-0036313",47
"809","M.Haack","00-0033400",56
"810","B.Mann","00-0036313",43
"811","M.Haack","00-0033400",55
"812","B.Mann","00-0036313",58
"813","B.Pinion","00-0032065",41
"814","M.Dickson","00-0034160",37
"815","M.Dickson","00-0034160",36
"816","B.Pinion","00-0032065",45
"817","B.Pinion","00-0032065",47
"818","M.Dickson","00-0034160",41
"819","M.Dickson","00-0034160",42
"820","S.Martin","00-0030092",46
"821","R.Stonehouse","00-0037607",60
"822","S.Martin","00-0030092",41
"823","S.Martin","00-0030092",39
"824","S.Martin","00-0030092",44
"825","R.Stonehouse","00-0037607",62
"826","S.Martin","00-0030092",27
"827","R.Stonehouse","00-0037607",43
"828","R.Stonehouse","00-0037607",53
"829","R.Stonehouse","00-0037607",48
"830","B.Gillikin","00-0035859",60
"831","J.Bailey","00-0035280",56
"832","B.Gillikin","00-0035859",41
"833","B.Gillikin","00-0035859",59
"834","J.Bailey","00-0035280",36
"835","B.Pinion","00-0032065",37
"836","T.Gill","00-0037097",42
"837","B.Pinion","00-0032065",45
"838","B.Pinion","00-0032065",46
"839","C.Bojorquez","00-0034721",36
"840","J.Stout","00-0038094",60
"841","J.Stout","00-0038094",55
"842","J.Stout","00-0038094",30
"843","C.Bojorquez","00-0034721",58
"844","C.Bojorquez","00-0034721",52
"845","J.Stout","00-0038094",64
"846","M.Dickson","00-0034160",61
"847","M.Dickson","00-0034160",68
"848","S.Martin","00-0030092",49
"849","M.Dickson","00-0034160",58
"850","S.Martin","00-0030092",58
"851","M.Dickson","00-0034160",58
"852","S.Martin","00-0030092",40
"853","R.Dixon","00-0032943",40
"854","J.Hekker","00-0028872",50
"855","J.Hekker","00-0028872",53
"856","J.Hekker","00-0028872",44
"857","J.Hekker","00-0028872",50
"858","R.Dixon","00-0032943",60
"859","R.Dixon","00-0032943",53
"860","J.Hekker","00-0028872",50
"861","T.Taylor","00-0039745",68
"862","T.Taylor","00-0039745",32
"863","T.Taylor","00-0039745",52
"864","T.Way","00-0030140",39
"865","T.Taylor","00-0039745",32
"866","T.Way","00-0030140",35
"867","T.Taylor","00-0039745",49
"868","T.Taylor","00-0039745",53
"869","T.Way","00-0030140",49
"870","T.Taylor","00-0039745",55
"871","T.Way","00-0030140",34
"872","T.Way","00-0030140",57
"873","B.Anger","00-0029692",52
"874","M.Wishnowsky","00-0034941",44
"875","B.Anger","00-0029692",43
"876","M.Wishnowsky","00-0034941",45
"877","B.Anger","00-0029692",59
"878","B.Anger","00-0029692",40
"879","M.Wishnowsky","00-0034941",44
"880","M.Wishnowsky","00-0034941",39
"881","D.Whelan","00-0037547",45
"882","L.Cooke","00-0034437",73
"883","D.Whelan","00-0037547",43
"884","L.Cooke","00-0034437",40
"885","L.Cooke","00-0034437",63
"886","L.Cooke","00-0034437",62
"887","D.Whelan","00-0037547",53
"888","L.Cooke","00-0034437",60
"889","D.Whelan","00-0037547",37
"890","D.Whelan","00-0037547",63
"891","T.Townsend","00-0035889",32
"892","R.Sanchez","00-0033269",43
"893","T.Townsend","00-0035889",53
"894","R.Sanchez","00-0033269",49
"895","T.Townsend","00-0035889",47
"896","R.Sanchez","00-0033269",54
"897","T.Townsend","00-0035889",39
"898","R.Sanchez","00-0033269",57
"899","T.Townsend","00-0035889",45
"900","R.Sanchez","00-0033269",33
"901","R.Sanchez","00-0033269",47
"902","T.Townsend","00-0035889",41
"903","M.Araiza","00-0037284",42
