"","punter_player_name","punter_player_id","kick_distance"
"1261","R.Stonehouse","00-0037607",62
"1262","R.Wright","00-0037500",66
"1263","R.Stonehouse","00-0037607",46
"1264","R.Wright","00-0037500",47
"1265","R.Wright","00-0037500",40
"1266","R.Wright","00-0037500",29
"1267","R.Wright","00-0037500",40
"1268","P.O'Donnell","00-0031079",43
"1269","M.Dickson","00-0034160",53
"1270","P.O'Donnell","00-0031079",38
"1271","M.Dickson","00-0034160",44
"1272","P.O'Donnell","00-0031079",42
"1273","T.Way","00-0030140",51
"1274","B.Mann","00-0036313",38
"1275","B.Mann","00-0036313",51
"1276","T.Way","00-0030140",44
"1277","T.Way","00-0030140",39
"1278","B.Mann","00-0036313",44
"1279","T.Way","00-0030140",36
"1280","T.Way","00-0030140",51
"1281","B.Gillikin","00-0035859",51
"1282","M.Dickson","00-0034160",51
"1283","B.Gillikin","00-0035859",58
"1284","M.Dickson","00-0034160",52
"1285","B.Gillikin","00-0035859",44
"1286","M.Dickson","00-0034160",41
"1287","M.Dickson","00-0034160",36
"1288","B.Gillikin","00-0035859",54
"1289","B.Gillikin","00-0035859",49
